,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Latitude,Longitude
5105,2700000,2326.626034673533,180,2,3,2,2,0,1,0,0,Brooklin/São Paulo,-23.606882,-46.696656
5106,3150000,2716.0567398265343,210,4,4,3,3,1,1,0,0,Brooklin/São Paulo,-23.606882,-46.696656
5107,1500000,650.0,184,3,2,1,2,0,0,0,0,Brooklin/São Paulo,-23.6111147,-46.6907737
5108,636000,850.0,65,2,1,0,1,0,0,0,0,Brooklin/São Paulo,-23.612855,-46.6836298
5109,1800000,2800.0,180,4,4,3,3,0,0,1,0,Brooklin/São Paulo,-23.6100161,-46.6817975
5110,3460000,2200.0,240,3,4,3,4,0,0,1,0,Brooklin/São Paulo,-23.6108372,-46.6930098
5111,2150000,1580.0,178,3,4,3,3,0,0,1,0,Brooklin/São Paulo,-23.6126716,-46.68521045
5112,580000,627.4033485748121,70,2,2,0,1,0,0,0,0,Brooklin/São Paulo,-23.6168081,-46.6793209
5113,2350000,1625.0,178,2,3,2,3,1,0,1,0,Brooklin/São Paulo,-23.6126716,-46.68521045
5114,640000,750.0,67,3,2,1,1,0,0,0,0,Brooklin/São Paulo,-23.6127342,-46.6794609
5115,2400000,1580.0,178,3,4,3,3,1,0,1,0,Brooklin/São Paulo,-23.6126716,-46.68521045
5116,3200000,2300.0,226,4,5,4,4,0,0,1,0,Brooklin/São Paulo,-23.614159,-46.6883148
5117,1550000,1567.693980452978,158,4,4,3,3,0,0,1,0,Brooklin/São Paulo,-23.6113553,-46.6804634
5118,885000,760.0,72,2,2,1,2,0,0,1,0,Brooklin/São Paulo,-23.6140789,-46.6886764
5119,1350000,1700.0,170,4,4,3,2,0,0,1,0,Brooklin/São Paulo,-23.6220498,-46.6808683
5120,1800000,1876.25110306791,196,4,3,2,3,0,0,0,0,Brooklin/São Paulo,-23.6109539,-46.6809188
5121,2660000,2173.870098074708,150,3,4,3,3,0,1,1,0,Brooklin/São Paulo,-23.6210099,-46.6956445
5122,800000,862.4543285781733,95,3,3,2,2,0,0,1,0,Brooklin/São Paulo,-23.6113228,-46.6894447
5123,1700000,1200.0,121,2,2,1,2,0,0,1,0,Brooklin/São Paulo,-23.6208425,-46.6845247
5124,1400000,2630.0,96,2,3,2,2,0,1,1,0,Brooklin/São Paulo,-23.6143711,-46.6893436
5125,3600000,3096.843063961105,238,4,4,3,4,0,0,1,0,Brooklin/São Paulo,-23.6096077,-46.6930127
5126,980000,1300.0,115,3,2,1,1,1,0,0,0,Brooklin/São Paulo,-23.6126951,-46.6786961
5127,1290000,2527.0,187,3,2,1,2,0,0,0,0,Brooklin/São Paulo,-23.6125211,-46.6793587
5128,2100000,1841.9626185432548,148,3,4,3,2,0,0,1,0,Brooklin/São Paulo,-23.6025998,-46.6946954
5129,1900000,1100.0,134,3,4,3,3,0,0,1,0,Brooklin/São Paulo,-23.6208425,-46.6845247
5130,960000,1300.0,75,2,2,1,1,0,0,0,0,Brooklin/São Paulo,-23.6040517,-46.6948844
5131,2400000,2850.0,198,4,4,3,1,0,0,1,0,Brooklin/São Paulo,-23.6112939,-46.6801293
5132,1050000,1110.500784064088,119,3,2,1,2,1,0,0,0,Brooklin/São Paulo,-23.6237686,-46.6870456
5133,1950000,1500.0,172,3,4,3,3,1,0,1,0,Brooklin/São Paulo,-23.620077,-46.6847506
5134,3600000,3088.1986829426737,236,4,4,3,4,0,0,1,0,Brooklin/São Paulo,-23.6096077,-46.6930127
5135,530000,400.0,49,1,2,1,1,0,0,0,0,Brooklin/São Paulo,-23.6176824,-46.6949631
5137,1200000,1048.0,77,1,2,1,2,0,1,1,0,Brooklin/São Paulo,-23.6121056,-46.6811751
5138,1500000,1461.0317746341498,140,3,2,1,3,0,0,1,0,Brooklin/São Paulo,-23.6106241,-46.6813139
5139,1600000,1613.8455191427884,162,3,4,3,3,0,0,1,0,Brooklin/São Paulo,-23.6226092,-46.68201
5140,1700000,1904.969359946324,216,4,3,2,3,0,0,0,0,Brooklin/São Paulo,-23.6124084,-46.6825042
5141,1900000,1050.0,227,3,4,3,3,0,0,1,0,Brooklin/São Paulo,-23.6132778,-46.6843195
5142,1906000,1600.0,138,2,3,2,2,0,0,1,0,Brooklin/São Paulo,-23.6172149,-46.6840777
5143,1900000,1653.0342732747972,131,2,3,2,2,0,1,1,0,Brooklin/São Paulo,-23.6040517,-46.6948844
5144,1600000,1400.0,99,2,2,1,2,0,1,0,0,Brooklin/São Paulo,-23.6068912,-46.6959343
5432,759000,873.3643757964799,103,4,4,2,2,1,0,1,0,Barra Funda/São Paulo,-23.515459,-46.686931
5433,449999,500.0,55,2,2,1,1,0,0,0,0,Barra Funda/São Paulo,-23.528845,-46.653782
5434,194900,240.0,31,1,2,1,1,1,0,0,0,Barra Funda/São Paulo,-23.515459,-46.686931
5435,390000,495.0,85,2,2,1,1,1,0,0,0,Barra Funda/São Paulo,-23.533838,-46.650842
5436,580000,525.0,58,2,2,1,1,0,0,1,0,Barra Funda/São Paulo,-23.528876,-46.664234
5437,723000,460.0,100,3,3,1,2,1,0,1,0,Barra Funda/São Paulo,-23.518756,-46.668966
