,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,district_class
343,180000,250.0,45,2,2,1,1,1,0,0,C
344,354000,440.7551214836833,57,2,2,1,1,1,0,1,C
345,390000,500.0,70,2,2,1,1,1,0,1,C
346,375000,470.0,67,2,2,1,1,1,0,1,C
347,295000,350.0,45,1,2,1,1,1,0,1,C
348,194000,292.2057595744465,44,2,2,1,1,1,0,0,C
349,370000,280.0,57,2,2,1,1,1,0,1,C
350,182000,285.2786931777389,44,2,2,1,1,1,0,0,C
351,270000,283.0,50,2,2,1,1,1,0,0,C
352,679000,577.0,54,2,2,1,1,0,0,1,B
353,930000,1063.0,90,3,2,1,1,0,0,0,B
354,380000,528.0,48,2,2,1,2,1,0,0,B
355,405000,689.0,35,1,2,1,1,1,0,1,B
356,680000,680.0,48,1,2,1,1,1,0,1,B
357,723998,697.5604192965907,67,2,2,1,1,0,0,1,B
358,1900000,1951.265418410669,200,3,4,3,2,0,0,0,B
359,315000,1137.0,42,1,2,1,1,1,1,1,B
360,260865,330.0,32,1,2,1,1,1,0,0,B
361,2200000,1582.0,235,3,3,1,1,1,0,0,B
362,850000,820.0,85,2,2,1,1,0,1,0,B
363,620000,585.6607122589378,55,2,2,1,1,1,0,1,B
364,900000,639.0,60,2,2,1,2,1,0,1,B
365,1450000,1400.0,130,3,4,1,2,0,0,1,B
366,710000,450.0,55,2,2,1,1,1,0,1,B
367,2600000,3200.0,213,4,2,1,3,1,0,0,B
368,950000,1075.0,138,2,2,1,2,1,0,1,B
369,460000,662.0,37,1,2,1,1,0,0,0,B
370,750000,1400.0,108,2,2,1,1,1,0,0,B
371,1250000,980.0,118,3,3,1,1,1,0,0,B
372,430000,450.0,38,1,2,1,1,1,0,1,B
373,400000,700.0,35,1,2,1,1,1,1,1,B
374,486000,600.0,41,1,2,1,1,1,0,1,B
375,390000,350.0,54,1,2,1,1,1,0,0,B
376,265000,337.5130929308488,45,2,2,1,1,1,0,1,B
377,185000,250.0,38,2,2,1,1,1,0,1,B
378,450000,685.0,80,3,2,1,2,1,1,1,B
379,350000,400.0,46,2,2,1,1,1,0,1,B
380,315000,400.9533936575215,53,2,2,1,1,0,0,1,B
381,299000,400.0,45,2,2,1,1,0,0,1,B
382,265000,350.4796644584954,48,2,2,1,1,0,0,1,B
383,189001,190.0,37,2,2,1,1,1,0,1,B
384,189003,180.0,37,2,2,1,1,1,0,1,B
385,125000,320.0,32,1,2,1,1,1,0,0,B
386,165000,420.0,50,1,2,1,1,0,0,0,B
387,899000,700.0,75,2,2,1,1,1,1,0,B
388,199000,270.0,37,2,2,1,1,1,0,1,B
389,210000,200.0,34,1,2,1,1,1,0,1,B
390,500000,320.0,60,2,2,1,1,0,0,0,B
391,189002,180.0,37,2,2,1,1,1,0,1,B
392,200000,252.44738768064505,34,1,2,1,1,0,0,1,B
393,225000,250.0,37,1,2,1,1,1,0,1,B
394,635792,642.3208272383758,66,2,2,1,1,0,0,0,B
395,189000,220.0,37,2,2,1,1,1,0,1,B
396,213000,230.0,37,2,2,1,1,1,0,1,B
397,261000,335.204070798613,45,2,2,1,1,1,0,1,B
398,450000,500.0,56,2,2,1,1,0,1,1,C
399,400000,380.0,55,2,2,1,1,0,0,1,C
400,380000,500.0,62,3,2,1,1,1,1,1,C
401,410000,450.0,61,3,2,1,1,1,0,1,C
402,680000,550.0,87,3,2,1,2,1,1,1,C
403,410000,380.0,56,2,2,1,1,1,0,1,C
404,530000,600.0,75,2,2,1,1,1,0,1,C
405,319000,455.1287019003437,65,3,2,1,1,1,0,1,C
406,356000,480.0,52,2,2,1,1,0,0,1,C
407,360000,380.0,53,2,2,1,1,1,0,1,C
408,342700,455.8430865061946,62,3,2,1,1,0,0,1,C
409,470000,520.0,66,2,2,1,1,0,0,0,D
410,620000,685.0710939708949,78,3,2,1,1,0,0,1,C
411,380000,620.0,55,2,2,1,1,0,0,1,C
412,380000,500.0,61,2,2,1,1,1,1,1,C
413,670000,550.0,83,2,2,1,2,1,0,1,C
414,370000,430.0,57,2,2,1,1,1,0,1,C
415,400000,380.0,53,2,2,1,1,0,0,1,C
416,600000,610.0,85,3,3,1,2,0,0,0,D
417,450000,500.0,61,3,2,1,1,1,0,1,C
418,898000,1500.0,135,4,4,2,2,1,0,1,D
419,430000,447.0,61,2,2,1,1,1,0,1,C
420,630000,610.0,85,2,3,2,2,0,0,0,D
421,907000,950.0,123,4,4,1,2,0,0,0,D
422,873000,950.0,123,3,4,1,2,0,0,0,D
423,898000,1500.0,135,3,4,3,2,1,0,1,D
424,350000,380.0,53,2,2,1,1,0,1,1,C
425,430000,450.0,62,3,2,1,1,0,0,1,C
426,690000,550.0,83,2,2,1,2,0,0,1,C
427,700000,1000.0,103,4,3,1,2,1,0,1,D
428,530000,600.0,75,2,2,1,1,0,0,0,C
429,700000,1000.0,103,3,3,1,2,1,0,1,D
430,475000,851.0,93,3,2,1,1,1,0,0,B
431,840000,1760.0,310,3,3,1,1,1,0,0,B
432,265000,598.0,44,1,2,1,1,0,0,0,B
433,297990,340.0,31,1,2,1,1,1,0,1,B
434,189998,330.0,35,1,2,1,1,0,0,0,B
435,1650000,1980.0,266,4,4,1,2,1,0,1,B
436,571258,488.36907491912905,39,1,2,1,1,1,0,1,B
437,2550000,1700.0,348,3,2,1,1,0,0,0,B
438,390000,300.0,40,1,2,1,1,1,1,1,B
439,650000,880.0,113,4,3,1,1,0,1,0,B
440,590000,900.0,120,2,2,1,1,0,0,0,B
441,320000,800.0,56,1,2,1,1,1,0,0,B
442,310000,359.0,47,1,2,1,1,0,0,0,B
443,385000,287.0,40,1,2,1,1,1,0,1,B
444,3550000,3320.0,400,2,4,1,1,1,0,1,B
445,605000,400.0,65,2,2,1,1,1,1,1,B
446,472869,431.5734802769902,39,1,2,1,1,1,0,1,B
447,259700,290.0,38,1,2,1,1,1,0,0,B
448,250000,460.0,70,2,2,1,1,0,0,0,B
449,295000,221.0,45,1,2,1,1,1,0,0,B
450,426427,400.0,39,1,2,1,1,1,0,1,B
451,300000,300.0,56,1,2,1,1,1,0,0,B
452,447000,500.0,59,2,2,1,1,1,0,1,B
453,2790000,2950.0,200,3,5,3,3,0,1,0,B
454,1100000,1300.0,140,3,2,1,1,0,0,0,B
455,1260000,1340.0,103,3,2,1,2,1,0,1,B
456,700000,740.0,80,2,2,1,1,0,0,0,B
457,350000,500.0,56,1,2,1,1,1,0,0,B
458,251000,360.0,51,1,2,1,1,1,1,0,B
459,595000,650.0,68,2,2,1,1,1,0,1,B
460,880000,1700.0,128,3,3,2,1,0,0,0,B
461,760000,1420.0,70,2,2,1,1,0,1,0,B
462,760000,1045.0,62,2,2,1,1,0,0,0,B
463,400000,450.0,60,2,2,1,1,0,0,0,B
464,510000,650.0,85,2,2,1,1,0,0,0,B
465,700000,840.0,97,2,2,1,1,1,0,0,B
466,1476000,2500.0,220,3,3,1,1,0,0,0,B
467,454000,450.0,59,2,2,1,1,0,0,1,B
468,595000,650.0,59,2,2,1,1,1,0,1,B
469,650000,835.0,81,2,2,1,1,1,0,0,B
470,590000,600.0,65,2,2,1,1,0,1,0,B
471,360000,528.0,37,1,2,1,1,1,1,1,B
472,890000,1996.0,127,3,2,1,1,0,0,0,B
473,375000,650.0,42,1,2,1,1,1,1,1,B
474,3800000,3566.713792328572,320,3,4,3,4,1,0,1,B
475,275000,450.0,72,1,2,1,1,1,0,0,B
476,900000,1270.0,150,3,3,1,1,0,0,0,B
477,595000,601.4846574969722,62,2,2,1,1,1,0,1,B
478,2800000,4000.0,210,4,3,2,3,1,0,1,B
479,480000,800.0,84,2,2,1,1,1,0,0,B
480,500000,750.0,105,2,2,1,1,1,0,0,B
481,2800000,2450.0,256,3,5,2,2,0,0,0,B
482,2190000,2200.0,156,3,5,3,2,0,0,0,B
483,1220000,1100.0,100,3,3,1,1,0,0,0,B
484,1549000,1200.0,94,2,3,2,2,0,0,0,B
