,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,mean_price/m,std_price/m,district_class
176,850,321.81244910179606,40,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
177,1300,419.3707208846905,48,2,2,1,1,1,1,0,36.99486182214457,21.366743561269978,D
178,900,650.0,50,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,D
179,1200,448.4908771675762,52,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
180,1350,439.97971582876767,50,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,D
181,800,520.0,55,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,D
182,920,650.0,52,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,D
183,1300,419.3707208846905,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
184,1000,418.8085070195475,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
185,1100,547.9491796215018,64,2,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
186,1200,180.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
187,2000,320.0,48,2,2,1,1,0,1,0,36.99486182214457,21.366743561269978,D
188,900,544.643614287613,65,2,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
189,1500,554.5603102892791,62,3,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
190,1000,462.7698483764475,55,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
191,1200,452.0,50,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,D
192,1500,475.4298958468592,53,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
193,1240,459.70271216000987,53,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
194,1300,384.2016477991706,44,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
195,1350,420.0,50,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,D
196,1600,370.0,70,2,2,1,1,1,0,1,29.89023813563203,15.687458326582117,D
197,855,470.0,50,2,2,1,1,1,1,0,29.32834936571854,14.841037015136015,D
198,1300,436.9552574274505,50,2,2,1,1,1,1,1,29.32834936571854,14.841037015136015,D
199,1600,472.6865443781135,52,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
200,999,594.593383279121,70,2,2,1,1,0,0,0,29.89023813563203,15.687458326582117,D
201,888,587.8790856281969,70,2,2,1,1,0,0,0,29.89023813563203,15.687458326582117,D
202,4500,1080.0,107,3,2,1,1,1,0,0,35.70183671780869,21.894769921815232,A
203,8000,1400.0,132,3,2,1,1,0,0,0,33.524205866749334,19.112767705525528,A
204,5890,550.0,87,2,2,1,1,0,1,0,29.96586380462771,14.511229657479197,A
