,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
63,1.1727890968322754,0.007460837711922117,0.026029682159423827,0.0008852314517234944,20,2,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-3283784.6235892684,-5143496.2878660085,-3563362.2759311567,-3788899.38315508,-4021930.7462876565,-3960294.6633658344,640056.651731611,34
64,2.3661271572113036,0.027324671019026754,0.049682092666625974,0.0010708089308835188,20,2,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-3168209.6509282244,-5287351.52007806,-3487575.3014010363,-3730923.0280066486,-3941585.0447170143,-3923128.9090261967,729108.6467064819,21
65,3.530072736740112,0.02469475599087546,0.0728067398071289,0.00040607091235538733,20,2,2,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-3190435.6828323533,-5219068.283980626,-3502628.382163591,-3707761.65387786,-3946353.9927862664,-3913249.5991281397,698506.0308465245,12
66,1.1282366275787354,0.005839342303509404,0.025071382522583008,0.0009001870744815903,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-3287608.8620724096,-5146870.079837544,-3535707.163893968,-3772424.3370259735,-4039982.8634242597,-3956518.661250831,645339.6204685244,33
67,2.2583271503448485,0.009338591689242347,0.04740386009216309,0.0006812192237144581,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-3182373.1205710424,-5237076.27614436,-3480429.672772111,-3744393.4014110644,-3962572.2557870317,-3921368.945337122,707763.5350018708,17
68,3.358823776245117,0.02765906784013638,0.06942572593688964,0.0013109740765768856,20,2,5,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-3209890.8134301915,-5182821.765536452,-3506087.272205995,-3717860.0975229093,-3955993.018787041,-3914530.5934965177,680044.716196025,13
69,0.9933179378509521,0.010812938155725297,0.021625423431396486,0.0003645164369755096,20,2,10,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-3454378.698866426,-5224666.553599835,-3513040.617859319,-3849546.9519230654,-4056744.372473862,-4019675.4389445013,641647.978350501,65
70,1.9905517578125,0.015002549092063298,0.04151158332824707,0.000924055929024593,20,2,10,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-3368248.267558191,-5264854.422218306,-3471720.8037286284,-3800665.639438027,-4000861.2139691934,-3981270.069382469,680591.9111401519,52
71,2.976463031768799,0.02760708819750925,0.06066250801086426,0.0009433981499746933,20,2,10,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-3387056.0108681717,-5186311.924916118,-3496168.923680467,-3795434.6365264906,-3998371.8939079833,-3972668.6779798465,644204.4245923762,44
72,0.9659233093261719,0.009665000293413058,0.021958398818969726,0.0002937783399296568,20,4,2,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-3364415.1756549627,-5362102.649054016,-3587377.140289117,-3897851.127763543,-4131467.811137426,-4068642.7807798134,697668.73809168,101
